name,brand,price,stock_count,product_rating,Availability,url
Plastic hiking flask with quick opening cap MH500 0.8 Litre purple ,QUECHUA,300.0,115,4.5,Available,https://decathlon.ph/p/plastic-hiking-flask-with-quick-opening-cap-mh500-0-8-litre-purple-quechua-8798180.html
Plastic (Tritan) Hiking flask 100 screw top 0.8 litres,QUECHUA,160.0,584,4.59,Available,https://decathlon.ph/p/plastic-tritan-hiking-flask-100-screw-top-0-8-litres-quechua-8492776.html
Hiker’s camp flat plate MH100 plastic blue (0.45 litre),QUECHUA,140.0,14,4.64,Available,https://decathlon.ph/p/hiker-s-camp-flat-plate-mh100-plastic-blue-0-45-litre-quechua-8493329.html
MH150 Stainless Steel Hiking Campsite cup (0.4 litres),QUECHUA,250.0,82,4.82,Available,https://decathlon.ph/p/mh150-stainless-steel-hiking-campsite-cup-0-4-litres-quechua-8492721.html
"Set of 3 cutlery (knife, fork, spoon) hiker's camp plastic blue",QUECHUA,230.0,22,4.91,Available,https://decathlon.ph/p/set-of-3-cutlery-knife-fork-spoon-hiker-s-camp-plastic-blue-quechua-8386030.html
Inflatable Camping Mattress - Air Basic 140 cm - 2 Person,QUECHUA,1990.0,48,4.02,Available,https://decathlon.ph/p/inflatable-camping-mattress-air-basic-140-cm-2-person-quechua-8561145.html
Air Basic Inflatable Camping Mattress -120 cm - 2-Person,QUECHUA,1690.0,32,4.47,Available,https://decathlon.ph/p/air-basic-inflatable-camping-mattress-120-cm-2-person-quechua-8561149.html
CAMPING LAMP - BL 200 RECHARGEABLE - 200 LUMENS,QUECHUA,1390.0,29,4.72,Available,https://decathlon.ph/p/camping-lamp-bl-200-rechargeable-200-lumens-quechua-8584584.html
CAMPING AIR BASIC MATTRESS 70CM - 1 person,QUECHUA,990.0,30,3.87,Available,https://decathlon.ph/p/camping-air-basic-mattress-70cm-1-person-quechua-8561144.html
INFLATABLE CAMPING PILLOW - AIR BASIC,QUECHUA,390.0,121,4.17,Available,https://decathlon.ph/p/inflatable-camping-pillow-air-basic-quechua-8677189.html
CAMP BED FOR CAMPING - DOUBLE CAMP BED SECOND 130 CM - 2 PERSON,QUECHUA,3790.0,1,5.0,Available,https://decathlon.ph/p/camp-bed-for-camping-double-camp-bed-second-130-cm-2-person-quechua-8774222.html
Isothermal Hiker’s Camping Mug (stainless steel double wall) MH500 0.38 L Red,QUECHUA,470.0,82,4.74,Available,https://decathlon.ph/p/isothermal-hiker-s-camping-mug-stainless-steel-double-wall-mh500-0-38-l-red-quechua-8640747.html
Insulated cover for hiking flask 0.75 to 1 litre grey/blue,QUECHUA,390.0,2226,4.57,Available,https://decathlon.ph/p/insulated-cover-for-hiking-flask-0-75-to-1-litre-grey-blue-quechua-8575944.html
MULTIFUNCTION TARP CAMPING SHELTER - FRESH XL,QUECHUA,3490.0,13,3.92,Available,https://decathlon.ph/p/multifunction-tarp-camping-shelter-fresh-xl-quechua-8576043.html
CAMPING LAMP - BL40 - 40 LUMENS,QUECHUA,390.0,26,4.77,Available,https://decathlon.ph/p/camping-lamp-bl40-40-lumens-quechua-8615283.html
MH500 hiker's camping cook set stainless steel + non-stick coating 2 p. 2.1 L,QUECHUA,1790.0,20,4.55,Available,https://decathlon.ph/p/mh500-hiker-s-camping-cook-set-stainless-steel-non-stick-coating-2-p-2-1-l-quechua-8492728.html
